Model,Threshold,Split,Accuracy,F1,ROC_AUC
NN_MLP,0.5,val,0.7677725118483413,0.6282245827010622,0.8371267281105991
NN_MLP,0.57,val,0.8,0.6500829187396352,0.8371267281105991
NN_MLP,0.5,test,0.7270142180094786,0.6065573770491803,0.8261244239631337
NN_MLP,0.57,test,0.7516587677725118,0.6042296072507553,0.8261244239631337
