Model,Accuracy_val,F1_val,ROC_AUC_val,Accuracy_test,F1_test,ROC_AUC_test
LogisticRegression,0.8085308056872038,0.5843621399176955,0.8390760368663593,0.7914691943127962,0.5849056603773585,0.8321428571428572
DecisionTreeClassifier,0.7507109004739336,0.5244122965641953,0.6754147465437788,0.7156398104265402,0.47183098591549294,0.6399308755760369
XGBoost,0.7706161137440758,0.6158730158730159,0.8301497695852534,0.7374407582938388,0.587183308494784,0.824437788018433
